epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0096,2.20864,7.2493,1.66742,0.48926,0.34092,0.2875,0.21979,0.81088,3.35219,0.90748,0.00015,0.00015,0.00015
2,25.3011,0.70891,2.10865,0.85788,0.56594,0.82452,0.81138,0.68745,0.60941,1.51366,0.86147,0.000308465,0.000308465,0.000308465
3,34.182,0.66491,1.24395,0.85898,0.7835,0.80052,0.93255,0.79879,0.59337,1.05054,0.84045,0.000465347,0.000465347,0.000465347
4,41.9885,0.62597,0.92354,0.85199,0.78975,0.86804,0.92987,0.813,0.57861,0.81552,0.85484,0.000620644,0.000620644,0.000620644
5,49.8424,0.58794,0.75689,0.85324,0.891,0.79444,0.91345,0.77762,0.6404,0.80905,0.88972,0.000774358,0.000774358,0.000774358
6,57.6621,0.60785,0.72987,0.84592,0.94495,0.96786,0.97662,0.85344,0.57509,0.59587,0.87534,0.000926487,0.000926487,0.000926487
7,65.469,0.57656,0.65596,0.85671,0.91715,0.98333,0.97543,0.85393,0.54008,0.51947,0.8585,0.0009703,0.0009703,0.0009703
8,73.0922,0.59259,0.64765,0.85996,0.9338,0.98325,0.97298,0.86108,0.52951,0.51588,0.85661,0.00096535,0.00096535,0.00096535
9,80.7681,0.56354,0.57259,0.86161,0.90606,0.96475,0.96008,0.86623,0.47242,0.56529,0.84187,0.0009604,0.0009604,0.0009604
10,88.4608,0.53296,0.56701,0.85842,0.9134,0.9449,0.97224,0.85736,0.54106,0.53155,0.84967,0.00095545,0.00095545,0.00095545
11,96.1855,0.52833,0.54264,0.82602,0.8681,0.83735,0.92518,0.8298,0.5069,0.76606,0.85159,0.0009505,0.0009505,0.0009505
12,103.893,0.54706,0.54423,0.83452,0.93668,0.985,0.9791,0.87168,0.52787,0.46484,0.84275,0.00094555,0.00094555,0.00094555
13,111.578,0.52008,0.51309,0.83382,0.94647,0.99206,0.9833,0.8893,0.47749,0.41505,0.83158,0.0009406,0.0009406,0.0009406
14,119.218,0.522,0.53609,0.84701,0.93636,0.98342,0.97215,0.89799,0.43302,0.41439,0.82507,0.00093565,0.00093565,0.00093565
15,126.944,0.49206,0.467,0.836,0.94188,0.99066,0.97381,0.90026,0.43758,0.4262,0.82964,0.0009307,0.0009307,0.0009307
16,134.594,0.48288,0.48733,0.82332,0.9523,0.97664,0.97465,0.89472,0.44744,0.43331,0.82889,0.00092575,0.00092575,0.00092575
17,142.18,0.4952,0.46486,0.84219,0.93317,0.99098,0.98925,0.91493,0.39772,0.38997,0.81713,0.0009208,0.0009208,0.0009208
18,149.961,0.47403,0.47471,0.81451,0.92696,0.97885,0.98225,0.89506,0.42511,0.43833,0.83008,0.00091585,0.00091585,0.00091585
19,157.654,0.47257,0.44056,0.83024,0.92987,0.94424,0.96808,0.90499,0.41822,0.49202,0.83252,0.0009109,0.0009109,0.0009109
20,165.451,0.47801,0.45813,0.82711,0.94183,0.98027,0.97164,0.89797,0.4168,0.39469,0.83364,0.00090595,0.00090595,0.00090595
21,173.216,0.47352,0.42895,0.82714,0.94696,0.98829,0.9815,0.91407,0.40697,0.37845,0.82714,0.000901,0.000901,0.000901
22,180.968,0.45566,0.4133,0.82629,0.94593,0.99304,0.9828,0.91899,0.3968,0.36985,0.82871,0.00089605,0.00089605,0.00089605
23,188.651,0.47834,0.43773,0.82626,0.94776,0.99471,0.98577,0.91207,0.39788,0.36217,0.82022,0.0008911,0.0008911,0.0008911
24,196.291,0.45661,0.40918,0.82986,0.94953,0.98574,0.9799,0.90385,0.4036,0.37859,0.81876,0.00088615,0.00088615,0.00088615
25,204.077,0.42797,0.41107,0.81425,0.93665,1,0.98475,0.91845,0.36497,0.35565,0.8157,0.0008812,0.0008812,0.0008812
26,211.776,0.45328,0.41376,0.82566,0.93309,0.99869,0.9828,0.91924,0.39029,0.37549,0.81928,0.00087625,0.00087625,0.00087625
27,219.617,0.45195,0.38119,0.83624,0.9371,0.99709,0.9797,0.92443,0.38467,0.34884,0.8207,0.0008713,0.0008713,0.0008713
28,227.79,0.42574,0.38021,0.81698,0.95997,0.98338,0.98528,0.90597,0.4234,0.36251,0.82261,0.00086635,0.00086635,0.00086635
29,235.691,0.43605,0.3699,0.81922,0.95765,0.98113,0.98676,0.93278,0.38072,0.34807,0.82323,0.0008614,0.0008614,0.0008614
30,243.212,0.43501,0.40551,0.82648,0.9131,0.99497,0.98596,0.91622,0.39572,0.36313,0.824,0.00085645,0.00085645,0.00085645
31,250.548,0.42935,0.36979,0.80902,0.94001,0.98674,0.98017,0.9166,0.38317,0.35356,0.8261,0.0008515,0.0008515,0.0008515
32,258.393,0.42996,0.38384,0.81728,0.94686,0.97073,0.98281,0.91532,0.36148,0.35717,0.82022,0.00084655,0.00084655,0.00084655
33,265.672,0.42231,0.36612,0.81269,0.951,0.99107,0.98329,0.92875,0.35588,0.34093,0.81393,0.0008416,0.0008416,0.0008416
34,273.009,0.38877,0.36362,0.8184,0.9452,0.99743,0.98046,0.92428,0.35207,0.32802,0.81527,0.00083665,0.00083665,0.00083665
35,280.776,0.40857,0.35588,0.81877,0.94594,0.99335,0.98391,0.91855,0.37252,0.34268,0.81446,0.0008317,0.0008317,0.0008317
36,288.054,0.41446,0.36441,0.81798,0.94205,0.99516,0.98388,0.91882,0.37626,0.33694,0.82196,0.00082675,0.00082675,0.00082675
37,295.142,0.39366,0.33644,0.81222,0.9613,0.98697,0.98634,0.9166,0.37728,0.31822,0.82753,0.0008218,0.0008218,0.0008218
38,302.226,0.41769,0.34173,0.82192,0.96254,0.9817,0.98738,0.92042,0.39378,0.34678,0.82109,0.00081685,0.00081685,0.00081685
39,309.29,0.41807,0.37855,0.82469,0.96265,0.98942,0.98823,0.91559,0.39737,0.34513,0.83234,0.0008119,0.0008119,0.0008119
40,316.252,0.43038,0.36387,0.81953,0.94305,0.97987,0.98035,0.90407,0.39603,0.38276,0.81668,0.00080695,0.00080695,0.00080695
41,323.194,0.41239,0.35669,0.80939,0.95707,0.98981,0.9801,0.91311,0.37139,0.33629,0.81685,0.000802,0.000802,0.000802
42,330.193,0.38181,0.34314,0.7987,0.94128,0.98613,0.98289,0.91644,0.37013,0.34836,0.8143,0.00079705,0.00079705,0.00079705
43,337.351,0.40882,0.36184,0.81093,0.94482,0.99447,0.98037,0.91412,0.36766,0.34867,0.8117,0.0007921,0.0007921,0.0007921
44,344.281,0.38159,0.35055,0.80439,0.95788,0.98544,0.97858,0.91335,0.36062,0.34192,0.81414,0.00078715,0.00078715,0.00078715
45,351.338,0.39422,0.36013,0.80679,0.94199,0.98712,0.97687,0.923,0.34312,0.35158,0.81198,0.0007822,0.0007822,0.0007822
46,358.379,0.38707,0.34013,0.81492,0.9439,0.98231,0.98364,0.92771,0.34794,0.31911,0.81143,0.00077725,0.00077725,0.00077725
47,365.369,0.39923,0.35365,0.81433,0.95128,0.9855,0.98717,0.93631,0.3531,0.32449,0.81759,0.0007723,0.0007723,0.0007723
48,372.486,0.38998,0.33632,0.8022,0.95672,0.99211,0.98744,0.93781,0.35176,0.31963,0.81522,0.00076735,0.00076735,0.00076735
49,379.722,0.39606,0.33784,0.80432,0.96596,0.96937,0.98793,0.92465,0.3531,0.32009,0.81556,0.0007624,0.0007624,0.0007624
50,386.805,0.39991,0.3369,0.81021,0.96938,0.97713,0.98746,0.94139,0.33905,0.31981,0.81494,0.00075745,0.00075745,0.00075745
51,394.5,0.37234,0.3183,0.80677,0.95647,0.9688,0.98608,0.9269,0.34137,0.318,0.81347,0.0007525,0.0007525,0.0007525
52,402.325,0.37093,0.31418,0.79415,0.96287,0.98206,0.97519,0.92912,0.34578,0.32091,0.8142,0.00074755,0.00074755,0.00074755
53,409.944,0.38407,0.3256,0.80604,0.95913,0.98567,0.97187,0.93102,0.33552,0.33326,0.81022,0.0007426,0.0007426,0.0007426
54,417.276,0.38665,0.32493,0.81088,0.9555,0.98756,0.98331,0.92931,0.35525,0.31863,0.81119,0.00073765,0.00073765,0.00073765
55,424.469,0.36777,0.31247,0.7904,0.96101,0.98164,0.98617,0.94478,0.34161,0.31228,0.80941,0.0007327,0.0007327,0.0007327
56,431.656,0.39554,0.33154,0.80904,0.92866,0.99173,0.97981,0.92652,0.32886,0.34535,0.81198,0.00072775,0.00072775,0.00072775
57,438.671,0.37218,0.33698,0.81516,0.94595,1,0.97983,0.9256,0.37538,0.33597,0.81709,0.0007228,0.0007228,0.0007228
58,445.676,0.36981,0.32604,0.80358,0.94609,0.99873,0.97652,0.93555,0.34201,0.31057,0.81048,0.00071785,0.00071785,0.00071785
59,452.792,0.39025,0.32782,0.80623,0.93327,0.98611,0.97862,0.92642,0.33076,0.33232,0.80577,0.0007129,0.0007129,0.0007129
60,460.072,0.38123,0.32854,0.81367,0.95483,0.99703,0.98152,0.93133,0.34008,0.3055,0.80651,0.00070795,0.00070795,0.00070795
61,467.241,0.37756,0.30971,0.80092,0.94688,0.99868,0.97677,0.93055,0.33311,0.31622,0.80942,0.000703,0.000703,0.000703
62,474.367,0.40413,0.3342,0.82008,0.94678,0.99335,0.97809,0.91737,0.35777,0.31348,0.80824,0.00069805,0.00069805,0.00069805
63,481.525,0.38606,0.31679,0.81525,0.94181,0.99262,0.98249,0.92235,0.34202,0.31745,0.81023,0.0006931,0.0006931,0.0006931
64,488.697,0.35941,0.29671,0.79445,0.94708,0.98248,0.97668,0.91927,0.35398,0.38799,0.80801,0.00068815,0.00068815,0.00068815
65,495.734,0.38231,0.3186,0.80234,0.93853,0.9857,0.97821,0.92516,0.33302,0.30863,0.81009,0.0006832,0.0006832,0.0006832
66,503.025,0.3713,0.30537,0.80744,0.94801,0.9881,0.98498,0.93886,0.35011,0.31944,0.80656,0.00067825,0.00067825,0.00067825
67,510.468,0.36921,0.29726,0.80947,0.93655,0.9881,0.97802,0.9174,0.34987,0.34266,0.80836,0.0006733,0.0006733,0.0006733
68,517.865,0.34798,0.29973,0.7994,0.95152,0.9881,0.97418,0.93061,0.30396,0.30252,0.8015,0.00066835,0.00066835,0.00066835
69,525.047,0.36398,0.29099,0.8008,0.95402,0.98655,0.97463,0.93328,0.31566,0.29963,0.80331,0.0006634,0.0006634,0.0006634
70,532.287,0.36543,0.29141,0.80392,0.954,0.98389,0.97141,0.91694,0.33485,0.32296,0.80365,0.00065845,0.00065845,0.00065845
71,539.406,0.3421,0.27223,0.80288,0.95345,0.98016,0.97812,0.94044,0.31537,0.3054,0.80238,0.0006535,0.0006535,0.0006535
72,546.498,0.34793,0.28362,0.80323,0.95881,0.98057,0.98303,0.94397,0.31813,0.28558,0.80723,0.00064855,0.00064855,0.00064855
73,553.515,0.36354,0.29214,0.80565,0.95313,0.9881,0.99286,0.94818,0.31719,0.28552,0.80821,0.0006436,0.0006436,0.0006436
74,560.701,0.33701,0.27549,0.79837,0.96893,0.97977,0.98967,0.95147,0.30661,0.2607,0.80579,0.00063865,0.00063865,0.00063865
